PLT_CN,PLOT_FIADB,MEASYEAR,TREE_CN,STREE_CN,SPCD,series,species,DBH_field,DIA,d2pith_mm,notes_lab
923529362290487,63099,2022,1279739812290487,1279739802290487,95,63099AA,PIMA,3.3,NA,NA,
923529346290487,21604,2022,1279739019290487,NA,94,21604AA,PIGL,10.5,10.5,NA,
923529333290487,25762,2022,1279738125290487,NA,95,25762AA,PIMA,1.1,1.1,NA,
923529332290487,32429,2022,1279737708290487,NA,95,32429AA,PIMA,5.1,5.1,NA,
923529331290487,9511,2022,1279737664290487,NA,95,09511AA,PIMA,5.1,NA,NA,
923529324290487,42722,2022,1279737363290487,NA,71,42722AA,LALA,5.1,5.1,NA,
923529324290487,42722,2022,1279737358290487,NA,95,42722AB,PIMA,5.4,5.4,NA,
923529321290487,59042,2022,1279737243290487,NA,94,59042AA,PIGL,7,7,NA,SITE TREE
923529308290487,8015,2022,1279736061290487,NA,95,08015AA,PIMA,6,6,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
923529308290487,8015,2022,1279736059290487,NA,95,08015AB,PIMA,7,7,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
923529304290487,14172,2022,1279735577290487,NA,95,14172AA,PIMA,5.3,5.3,NA,
886189393290487,2760,2022,1279735437290487,NA,95,02760AA,PIMA,5,5,NA,
886189160290487,56329,2022,1279730347290487,NA,94,56329AA,PIGL,6.8,6.8,NA,
886189028290487,53294,2022,1279729000290487,NA,94,53294AA,PIGL,5.6,5.6,NA,
683089639126144,57260,2022,1279714240290487,NA,94,57260AA,PIGL,16.4,16.4,NA,
683089619126144,37774,2022,1279713310290487,NA,95,37774AA,PIMA,5,5,NA,
683089590126144,40587,2022,1279712725290487,NA,94,40587AA,PIGL,13.4,13.4,NA,
683089590126144,40587,2022,1279712709290487,NA,94,40587AB,PIGL,11.2,11.2,NA,
683089584126144,47511,2022,1279712236290487,1279712220290487,94,47511AA,PIGL,18.1,18.1,NA,
683089584126144,47511,2022,1279712228290487,1279712219290487,94,47511AB,PIGL,10.4,10.4,NA,
683089576126144,22792,2022,1279712014290487,NA,94,22792AA,PIGL,10.4,10.4,NA,
683089576126144,22792,2022,1279712013290487,NA,94,22792AB,PIGL,11.3,11.3,NA,
683089576126144,22792,2022,1279712010290487,NA,94,22792AC,PIGL,13.1,13.1,NA,
683089575126144,503,2022,1279711663290487,NA,94,00503AA,PIGL,10.7,10.7,NA,
683089575126144,503,2022,1279711644290487,NA,94,00503AB,PIGL,11.4,11.4,NA,
683089543126144,24456,2022,1279711023290487,NA,94,24456AA,PIGL,7.4,7.4,NA,
683089537126144,56318,2022,1279710780290487,NA,95,56318AA,PIMA,7.2,7.2,NA,
683089529126144,59980,2022,1279710361290487,NA,95,59980AA,PIMA,5,5,NA,
683089529126144,59980,2022,1279710358290487,NA,95,59980AB,PIMA,7.2,7.2,NA,
683089529126144,59980,2022,1279710347290487,NA,94,59980AC,PIGL,5.4,5.4,NA,SITE 1?
683089527126144,9563,2022,1279710274290487,NA,95,09563AA,PIMA,5.7,5.7,NA,
683089486126144,7824,2022,1279708315290487,NA,94,07824AA,PIGL,8.4,8.4,NA,
683089484126144,33257,2022,1279707931290487,NA,94,33257AA,PIGL,7.5,7.5,NA,
683089484126144,33257,2022,1279707930290487,NA,94,33257AB,PIGL,9.1,9.1,NA,
683089484126144,33257,2022,1279707925290487,NA,94,33257AC,PIGL,5,5,NA,
