PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
9.23529E+14,63099,2022,2022,1.27974E+15,1.27974E+15,62.07209,-158.6031,95,63099AA,PIMA,8.38,NA,NA
9.23529E+14,21604,2022,2022,1.27974E+15,NA,62.00491,-160.1853,94,21604AA,PIGL,26.67,NA,NA
9.23529E+14,25762,2022,2022,1.27974E+15,NA,61.77856,-158.986,95,25762AA,PIMA,2.79,NA,NA
9.23529E+14,32429,2022,2022,1.27974E+15,NA,62.05811,-160.5848,95,32429AA,PIMA,12.95,NA,NA
9.23529E+14,9511,2022,2022,1.27974E+15,NA,62.16595,-158.6647,95,09511AA,PIMA,12.95,NA,NA
9.23529E+14,42722,2022,2022,1.27974E+15,NA,62.28236,-158.9113,71,42722AA,LALA,12.95,NA,NA
9.23529E+14,42722,2022,2022,1.27974E+15,NA,62.28236,-158.9113,95,42722AB,PIMA,13.72,NA,NA
9.23529E+14,59042,2022,2022,1.27974E+15,NA,61.74097,-160.0298,94,59042AA,PIGL,17.78,NA,SITE TREE
9.23529E+14,8015,2022,2022,1.27974E+15,NA,61.9076,-158.7056,95,08015AA,PIMA,15.24,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
9.23529E+14,8015,2022,2022,1.27974E+15,NA,61.9076,-158.7056,95,08015AB,PIMA,17.78,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
9.23529E+14,14172,2022,2022,1.27974E+15,NA,61.80709,-159.8877,95,14172AA,PIMA,13.46,NA,NA
8.86189E+14,2760,2022,2021,1.27974E+15,NA,60.083371,-151.404445,95,02760AA,PIMA,12.7,NA,NA
8.86189E+14,56329,2022,2021,1.27973E+15,NA,59.748093,-151.542692,94,56329AA,PIGL,17.27,NA,NA
8.86189E+14,53294,2022,2021,1.27973E+15,NA,59.82482,-151.358295,94,53294AA,PIGL,14.22,NA,NA
6.8309E+14,57260,2022,2020,1.27971E+15,NA,62.00869,-157.4991,94,57260AA,PIGL,41.66,NA,NA
6.8309E+14,37774,2022,2020,1.27971E+15,NA,61.6792,-158.2151,95,37774AA,PIMA,12.7,NA,NA
6.8309E+14,40587,2022,2020,1.27971E+15,NA,61.45868,-160.5661,94,40587AA,PIGL,34.04,NA,NA
6.8309E+14,40587,2022,2020,1.27971E+15,NA,61.45868,-160.5661,94,40587AB,PIGL,28.45,NA,NA
6.8309E+14,47511,2022,2020,1.27971E+15,1.27971E+15,60.76271,-158.4185,94,47511AA,PIGL,45.97,NA,NA
6.8309E+14,47511,2022,2020,1.27971E+15,1.27971E+15,60.76271,-158.4185,94,47511AB,PIGL,26.42,NA,NA
6.8309E+14,22792,2022,2020,1.27971E+15,NA,61.22193,-158.6709,94,22792AA,PIGL,26.42,NA,NA
6.8309E+14,22792,2022,2020,1.27971E+15,NA,61.22193,-158.6709,94,22792AB,PIGL,28.7,NA,NA
6.8309E+14,22792,2022,2020,1.27971E+15,NA,61.22193,-158.6709,94,22792AC,PIGL,33.27,NA,NA
6.8309E+14,503,2022,2020,1.27971E+15,NA,61.86105,-155.301,94,00503AA,PIGL,27.18,NA,NA
6.8309E+14,503,2022,2020,1.27971E+15,NA,61.86105,-155.301,94,00503AB,PIGL,28.96,NA,NA
